"","City","Longitude","Latitude"
"388","paris",-82.3625,34.8938889
"389","paris",-88.3266667,36.3019444
"390","paris",-95.5552778,33.6608333
"391","paris",-77.9516667,39.0044444
"392","paris",-88.0513889,42.6336111
"393","lima",16.171227,-9.292502
"394","lima",-59.197055,-34.044332
"395","lima",-63.51,-4.393611
"396","lima",-38.216667,-5.25
"397","lima",-48.743244,-25.437586
"398","lima",-60.666667,2.616667
"399","lima",18.3833333,6
"400","lima",15.5075,-1.3527778
"401","lima",-71.333333,-34.716667
"402","lima",121.194229,29.077357
"403","lima",97.083333,28.5
"404","lima",111.726375,23.522604
"405","lima",101.642417,26.88202
"406","lima",-74.45,7.45
"407","lima",-83.6,22.4166667
"408","lima",-75.3833333,20.2833333
"409","lima",-81.6788889,22.8019444
"410","lima",-79.4805556,21.6816667
"411","lima",-69.0833333,18.5833333
"412","lima",-79.5833333,-1.3666667
"413","lima",-90.366667,14.866667
"414","lima",-88.7666667,14.1333333
"415","lima",-72,19.3833333
"416","lima",-71.7666667,19.4166667
"417","lima",-74.2,18.3333333
"418","lima",114.0833,-8.3618
"419","lima",124.386111,-9.476944
"420","lima",99.0596,2.4439
"421","lima",127.968696,-3.642629
"422","lima",46.0686111,35.0769444
"423","lima",50.251834,36.842926
"424","lima",-77.7833333,18.45
"425","lima",-105.2,21.1
"426","lima",39.2916667,-14.6625
"427","lima",34.9333333,-11.8816667
"428","lima",37.5377778,-15.94
"429","lima",56.4252778,25.9416667
"430","lima",-79.5666667,9.6166667
"431","lima",-71.4741667,-15.3813889
"432","lima",-79.2794444,-5.7066667
"433","lima",-77.05,-12.05
"434","lima",-76.15,-5.8833333
"435","lima",-69.5166667,-15.9833333
"436","lima",-56.333333,-23.9
"437","lima",15,60.75
"438","lima",-89.3833333,13.9833333
"439","lima",15.3075,12.0533333
"440","lima",31.0666667,3.5666667
"441","lima",-91.3783333,40.1775
"442","lima",-91.7427778,42.8683333
"443","lima",-112.5911111,44.6369444
"444","lima",-77.6116667,42.9047222
"445","lima",-77.1358333,35.1972222
"446","lima",-84.1052778,40.7425
"447","lima",-96.5994444,35.1738889
"448","lima",-75.4408333,39.9172222
"449","lima",-82.4475,35.0891667
"450","lima",-91.8727778,44.6338889
"451","bangkok",111.5409,-6.6952
"452","bangkok",112.5128,-7.0969
"453","bangkok",107.7565,-7.1099
"454","bangkok",100.501444,13.753979
"455","hyderabad",78.474444,17.375278
"456","hyderabad",72.23828,30.478646
"457","hyderabad",68.373656,25.39242
"458","seoul",126.9783,37.5985
"459","nanjing",114.401285,24.686292
"460","nanjing",118.777778,32.061667
"461","nanjing",117.863056,24.045
"462","nanjing",112.388,21.974971
"463","chengdu",115.342894,26.368281
"464","chengdu",104.066667,30.666667
"465","london",-88.4333333,17.9833333
"466","london",-81.25,42.983333
"467","london",-0.093689,51.514125
"468","london",9.8,2.2833333
"469","london",-157.4666667,1.9833333
"470","london",96.2833333,25.1
"471","london",5.787874,5.722571
"472","london",125.129444,6.009722
"473","london",79.55,52.8
"474","london",-87.0877778,31.2975
"475","london",-93.2527778,35.3288889
"476","london",-119.4422222,36.4761111
"477","london",-85.9202778,39.6255556
"478","london",-84.0833333,37.1288889
"479","london",-83.6133333,42.02
"480","london",-93.0625,43.5261111
"481","london",-95.2347222,40.445
"482","london",-83.4483333,39.8863889
"483","london",-123.0916667,43.6347222
"484","london",-80.1488889,41.1436111
"485","london",-83.0022222,35.8697222
"486","london",-99.5761111,30.6766667
"487","london",-81.3688889,38.1944444
"488","london",-89.0127778,43.0477778
"489","london",-66.7333333,10.3638889
"490","london",30.866667,-24.766667
"491","london",30.572504,-24.302623
"492","nagoya",136.906739,35.180198
"493","nagoya",135,34.8
"494","nagoya",129.883333,33.533333
"495","tehran",55.476238,27.458447
"496","tehran",51.3304,35.7261
"497","tehran",51.1537,32.7026
"498","ho chi minh city",106.666667,10.75
"499","luanda",14.933333,-9.283333
"500","luanda",14.816667,-7.05
"501","luanda",13.233174,-8.836804
"502","luanda",-45.216667,-21.733333
"503","luanda",-53.166667,-22.9
"504","luanda",-38.383333,-7.7
"505","luanda",-15.3166667,12.0666667
"506","luanda",-15.4833333,11.5833333
"507","luanda",34.2166667,-0.8
"508","luanda",34.0586111,0.3077778
"509","luanda",23.1,-15.55
"510","luanda",33.1833333,-12.5333333
"511","xi-an shaanxi",NA,NA
"512","wuhan",120.232681,32.224452
"513","wuhan",114.273405,30.580125
"514","wuhan",121.7833333,24.65
"515","ahmedabad",72.616667,23.033333
"516","ahmedabad",73.0268,33.5695
"517","ahmedabad",68.688942,26.197635
"518","kuala lumpur",101.7,3.166667
"519","hangzhou",120.161419,30.29365
"520","hangzhou",102.195269,30.065175
"521","suzhou",116.978889,33.636111
"522","suzhou",120.618056,31.311389
"523","suzhou",117.506843,27.718497
"524","suzhou",98.499328,39.73817
"525","surat",149.068069,-27.152929
"526","surat",3.253826,45.93771
